user_id,app_desc,weight
100338945,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",9
100338945,"<a href=""http://app.doneforyoutraffic.com.com"" rel=""nofollow"">Done For You Traffic</a>",391
103735158,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",192
103735158,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",8
106502630,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",61
106502630,"<a href=""https://www.echobox.com"" rel=""nofollow"">Echobox Social</a>",129
106502630,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",8
106502630,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2
1084425186,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1
1084425186,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",339
1084425186,"<a href=""http://quran.ksu.edu.sa/tw"" rel=""nofollow"">Ayat | \u0622\u064a\u0627\u062a</a>",198
109340763,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",199
109340763,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1
1110273865,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",396
1110273865,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",1
1132049448,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",32
1132049448,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>",8
1132049448,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>",67
1132049448,"<a href=""http://hostgator.extole.com"" rel=""nofollow"">HostGator Referrals</a>",1
1132049448,"<a href=""http://app.doneforyoutraffic.com.com"" rel=""nofollow"">Done For You Traffic</a>",77
1145742354,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i\u039fS</a>",248
1145742354,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",149
1194760087,"<a href=""http://www.socialnewsdesk.com"" rel=""nofollow"">SocialNewsDesk</a>",55
1194760087,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",98
1194760087,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",45
1194760087,"<a href=""http://radarscope.io"" rel=""nofollow"">RadarScope</a>",2
1198055730,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",396
1198055730,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",1
120004875,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",199
120004875,"<a href=""http://www.opendorse.com"" rel=""nofollow"">opendorse</a>",1
1208410202,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>",198
1208410202,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2
1232672382,"<a href=""http://www.anxietyclown.com"" rel=""nofollow"">TestApp2_SendTweet</a>",400
124108741,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",400
1246489621,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",592
126102466,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",149
126102466,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",6
126102466,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",13
126102466,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",32
128797906,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",19
128797906,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",115
128797906,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",66
1305891272,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",564
1306310407,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",154
1306310407,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",66
1306310407,"<a href=""http://photogrid.org/"" rel=""nofollow"">PhotoGrid Collage Maker</a>",1
1360967778,"<a href=""http://weightlossroutines.blog.com/"" rel=""nofollow"">Iphone Weight Loss App</a>",398
1360967778,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",2
1360986716,"<a href=""http://www.plurk.com/weightlossroutines"" rel=""nofollow"">Health Routines Application</a>",277
1360986716,"<a href=""http://erased8712197.com"" rel=""nofollow"">erased8712197</a>",123
1360997107,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",47
1360997107,"<a href=""http://coolweightloss.tumblr.com/"" rel=""nofollow"">Mobile Device for Weight Loss</a>",351
1360997107,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",2
1362578575,"<a href=""http://www.crowdfireapp.com"" rel=""nofollow"">Crowdfire - Go Big</a>",400
1370120035,"<a href=""http://www.hashtaq-gulf.com/rt4/"" rel=""nofollow"">\u062a\u0637\u0628\u064a\u0642 \u0647\u0627\u0634\u062a\u0627\u0642 2014</a>",411
1377030169,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",397
1381029294,"<a href=""http://app.doneforyoutraffic.com.com"" rel=""nofollow"">Done For You Traffic</a>",400
140475927,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",174
140475927,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",14
140475927,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",7
140475927,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>",1
140475927,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",3
140475927,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",1
1408647865,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",399
14340875,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",167
